Date,Confirmed
2020-01-30,1
2020-01-31,0
2020-02-01,1
2020-02-02,1
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,2
2020-03-03,1
2020-03-04,22
2020-03-05,2
2020-03-06,1
2020-03-07,3
2020-03-08,5
2020-03-09,7
2020-03-10,12
2020-03-11,2
2020-03-12,14
2020-03-13,7
2020-03-14,3
2020-03-15,26
2020-03-16,4
2020-03-17,23
2020-03-18,14
2020-03-19,22
2020-03-20,50
2020-03-21,60
2020-03-22,77
2020-03-23,73
2020-03-24,86
2020-03-25,87
2020-03-26,88
2020-03-27,30
2020-03-28,185
2020-03-29,115
2020-03-30,227
2020-03-31,146
2020-04-01,437
2020-04-02,235
2020-04-03,478
2020-04-04,525
2020-04-05,505
2020-04-06,704
2020-04-07,508
2020-04-08,485
2020-04-09,591
2020-04-10,896
2020-04-11,768
2020-04-12,918
2020-04-13,905
2020-04-14,1463
2020-04-15,1118
2020-04-16,826
2020-04-17,1076
2020-04-18,957
2020-04-19,1324
