Date,Cured,Deaths,Confirmed
2020-03-12 00:00:00,0,0,1
2020-03-13 00:00:00,0,0,1
2020-03-14 00:00:00,0,0,1
2020-03-15 00:00:00,0,0,1
2020-03-16 00:00:00,0,0,1
2020-03-17 00:00:00,0,0,1
2020-03-18 00:00:00,0,0,1
2020-03-19 00:00:00,0,0,2
2020-03-20 00:00:00,0,0,3
2020-03-21 00:00:00,0,0,3
2020-03-22 00:00:00,0,0,5
2020-03-23 00:00:00,0,0,7
2020-03-24 00:00:00,0,0,8
2020-03-25 00:00:00,1,0,9
2020-03-26 00:00:00,1,0,11
2020-03-27 00:00:00,1,0,12
2020-03-28 00:00:00,1,0,14
2020-03-29 00:00:00,1,0,19
2020-03-30 00:00:00,1,0,23
2020-03-31 00:00:00,1,0,40
2020-04-01 00:00:00,1,0,83
2020-04-02 00:00:00,1,1,86
2020-04-03 00:00:00,1,1,132
2020-04-04 00:00:00,1,1,161
2020-04-05 00:00:00,1,1,190
2020-04-06 00:00:00,1,3,226
2020-04-07 00:00:00,1,3,266
2020-04-08 00:00:00,5,4,305
2020-04-09 00:00:00,6,4,348
2020-04-10 00:00:00,7,6,363
2020-04-11 00:00:00,11,6,381
2020-04-12 00:00:00,11,6,381
2020-04-13 00:00:00,11,7,432
2020-04-14 00:00:00,14,9,473
