Date,Cured,Deaths,Confirmed
2020-04-01 00:00:00,0,0,1
2020-04-02 00:00:00,0,0,5
2020-04-03 00:00:00,0,0,16
2020-04-04 00:00:00,0,0,24
2020-04-05 00:00:00,0,0,26
2020-04-06 00:00:00,0,0,26
2020-04-07 00:00:00,0,0,26
2020-04-08 00:00:00,0,0,27
2020-04-09 00:00:00,0,0,28
2020-04-10 00:00:00,0,0,29
2020-04-11 00:00:00,0,1,28
2020-04-12 00:00:00,0,1,28
2020-04-13 00:00:00,0,1,30
2020-04-14 00:00:00,0,1,30
2020-04-15 00:00:00,0,1,32
2020-04-16 00:00:00,5,1,27
2020-04-17 00:00:00,5,1,29
2020-04-18 00:00:00,9,1,25
2020-04-19 00:00:00,12,1,22
