Date,Cured,Deaths,Confirmed
2020-03-22 00:00:00,0,1,1
2020-03-23 00:00:00,0,1,1
2020-03-24 00:00:00,0,1,2
2020-03-25 00:00:00,0,1,3
2020-03-26 00:00:00,0,1,5
2020-03-27 00:00:00,0,1,5
2020-03-28 00:00:00,0,1,8
2020-03-29 00:00:00,0,1,10
2020-03-30 00:00:00,0,1,14
2020-03-31 00:00:00,0,1,14
2020-04-01 00:00:00,0,1,22
2020-04-02 00:00:00,0,1,23
2020-04-03 00:00:00,0,1,28
2020-04-04 00:00:00,0,1,29
2020-04-05 00:00:00,0,1,29
2020-04-06 00:00:00,0,1,31
2020-04-07 00:00:00,0,1,31
2020-04-08 00:00:00,0,1,37
2020-04-09 00:00:00,0,1,38
2020-04-10 00:00:00,0,1,59
2020-04-11 00:00:00,0,1,59
2020-04-12 00:00:00,19,1,44
2020-04-13 00:00:00,26,1,37
2020-04-14 00:00:00,26,1,39
2020-04-15 00:00:00,29,1,40
2020-04-16 00:00:00,29,1,44
2020-04-17 00:00:00,37,1,45
2020-04-18 00:00:00,37,2,46
2020-04-19 00:00:00,37,2,47
