Date,Cured,Deaths,Confirmed
2020-03-20 00:00:00,0,0,5
2020-03-21 00:00:00,0,0,7
2020-03-22 00:00:00,0,1,18
2020-03-23 00:00:00,0,1,29
2020-03-24 00:00:00,0,1,33
2020-03-25 00:00:00,0,1,38
2020-03-26 00:00:00,0,3,43
2020-03-27 00:00:00,0,3,43
2020-03-28 00:00:00,0,3,45
2020-03-29 00:00:00,1,5,57
2020-03-30 00:00:00,1,6,68
2020-03-31 00:00:00,3,6,70
2020-04-01 00:00:00,5,6,77
2020-04-02 00:00:00,8,7,79
2020-04-03 00:00:00,10,8,85
2020-04-04 00:00:00,14,10,91
2020-04-05 00:00:00,18,11,104
2020-04-06 00:00:00,22,12,122
2020-04-07 00:00:00,25,13,140
2020-04-08 00:00:00,25,13,140
2020-04-09 00:00:00,25,16,154
2020-04-10 00:00:00,26,17,215
2020-04-11 00:00:00,31,19,277
2020-04-12 00:00:00,44,22,388
2020-04-13 00:00:00,47,26,492
2020-04-14 00:00:00,55,26,562
