Date,Cured,Deaths,Confirmed
2020-03-04 00:00:00,0,0,2
2020-03-05 00:00:00,0,0,2
2020-03-06 00:00:00,0,0,2
2020-03-07 00:00:00,0,0,2
2020-03-08 00:00:00,0,0,2
2020-03-09 00:00:00,0,0,2
2020-03-10 00:00:00,0,0,2
2020-03-11 00:00:00,0,0,14
2020-03-12 00:00:00,0,0,14
2020-03-13 00:00:00,0,0,14
2020-03-14 00:00:00,0,0,14
2020-03-15 00:00:00,0,0,14
2020-03-16 00:00:00,0,0,14
2020-03-17 00:00:00,0,0,15
2020-03-18 00:00:00,0,0,17
2020-03-19 00:00:00,0,0,17
2020-03-20 00:00:00,0,0,17
2020-03-21 00:00:00,0,0,17
2020-03-22 00:00:00,0,0,21
2020-03-23 00:00:00,0,0,26
2020-03-24 00:00:00,11,0,17
2020-03-25 00:00:00,11,0,17
2020-03-26 00:00:00,11,0,19
2020-03-27 00:00:00,11,0,19
2020-03-28 00:00:00,12,0,21
2020-03-29 00:00:00,17,0,16
2020-03-30 00:00:00,18,0,18
2020-03-31 00:00:00,21,0,19
2020-04-01 00:00:00,21,0,22
2020-04-02 00:00:00,21,0,22
2020-04-03 00:00:00,24,0,25
2020-04-04 00:00:00,24,0,25
2020-04-05 00:00:00,25,1,34
2020-04-06 00:00:00,25,1,59
2020-04-07 00:00:00,25,1,65
2020-04-08 00:00:00,28,3,119
2020-04-09 00:00:00,29,3,140
2020-04-10 00:00:00,29,3,140
2020-04-11 00:00:00,29,3,148
2020-04-12 00:00:00,29,3,156
2020-04-13 00:00:00,29,3,156
2020-04-14 00:00:00,34,3,165
