Date,Cured,Deaths,Confirmed
2020-03-09 00:00:00,0,0,1
2020-03-10 00:00:00,0,0,1
2020-03-11 00:00:00,0,0,1
2020-03-12 00:00:00,0,0,1
2020-03-13 00:00:00,0,0,1
2020-03-14 00:00:00,0,0,2
2020-03-15 00:00:00,0,0,2
2020-03-16 00:00:00,0,0,3
2020-03-17 00:00:00,0,0,3
2020-03-18 00:00:00,0,0,3
2020-03-19 00:00:00,0,0,4
2020-03-20 00:00:00,0,0,4
2020-03-21 00:00:00,0,0,4
2020-03-22 00:00:00,0,0,4
2020-03-23 00:00:00,0,0,4
2020-03-24 00:00:00,0,0,4
2020-03-25 00:00:00,1,0,6
2020-03-26 00:00:00,1,0,12
2020-03-27 00:00:00,1,1,11
2020-03-28 00:00:00,1,1,18
2020-03-29 00:00:00,1,2,28
2020-03-30 00:00:00,2,2,44
2020-03-31 00:00:00,2,2,50
2020-04-01 00:00:00,2,2,58
2020-04-02 00:00:00,2,2,58
2020-04-03 00:00:00,3,2,70
2020-04-04 00:00:00,3,2,70
2020-04-05 00:00:00,4,2,100
2020-04-06 00:00:00,4,2,103
2020-04-07 00:00:00,4,2,110
2020-04-08 00:00:00,4,2,110
2020-04-09 00:00:00,4,4,150
2020-04-10 00:00:00,6,4,174
2020-04-11 00:00:00,6,4,197
2020-04-12 00:00:00,6,4,214
2020-04-13 00:00:00,6,4,235
2020-04-14 00:00:00,16,4,250
2020-04-15 00:00:00,30,4,244
2020-04-16 00:00:00,36,4,260
2020-04-17 00:00:00,38,4,272
2020-04-18 00:00:00,42,5,281
2020-04-19 00:00:00,51,5,285
