Date,Cured,Deaths,Confirmed
2020-03-09 00:00:00,0,0,1
2020-03-10 00:00:00,0,0,4
2020-03-11 00:00:00,0,0,4
2020-03-12 00:00:00,0,0,4
2020-03-13 00:00:00,0,1,5
2020-03-14 00:00:00,0,1,5
2020-03-15 00:00:00,0,1,5
2020-03-16 00:00:00,0,1,5
2020-03-17 00:00:00,0,1,10
2020-03-18 00:00:00,0,1,10
2020-03-19 00:00:00,0,1,13
2020-03-20 00:00:00,1,1,13
2020-03-21 00:00:00,1,1,13
2020-03-22 00:00:00,2,1,23
2020-03-23 00:00:00,2,1,30
2020-03-24 00:00:00,3,1,33
2020-03-25 00:00:00,3,1,37
2020-03-26 00:00:00,3,2,50
2020-03-27 00:00:00,3,2,50
2020-03-28 00:00:00,3,2,50
2020-03-29 00:00:00,5,3,68
2020-03-30 00:00:00,5,3,75
2020-03-31 00:00:00,5,3,75
2020-04-01 00:00:00,8,3,90
2020-04-02 00:00:00,9,3,98
2020-04-03 00:00:00,10,3,111
2020-04-04 00:00:00,12,3,113
2020-04-05 00:00:00,12,4,128
2020-04-06 00:00:00,12,4,135
2020-04-07 00:00:00,25,4,146
2020-04-08 00:00:00,25,4,146
2020-04-09 00:00:00,28,5,148
2020-04-10 00:00:00,30,6,161
2020-04-11 00:00:00,37,6,171
2020-04-12 00:00:00,37,6,183
2020-04-13 00:00:00,59,6,182
2020-04-14 00:00:00,65,9,184
