Date,Cured,Deaths,Confirmed
2020-01-30 00:00:00,0,0,1
2020-01-31 00:00:00,0,0,1
2020-02-01 00:00:00,0,0,2
2020-02-02 00:00:00,0,0,3
2020-02-03 00:00:00,0,0,3
2020-02-04 00:00:00,0,0,3
2020-02-05 00:00:00,0,0,3
2020-02-06 00:00:00,0,0,3
2020-02-07 00:00:00,0,0,3
2020-02-08 00:00:00,0,0,3
2020-02-09 00:00:00,0,0,3
2020-02-10 00:00:00,0,0,3
2020-02-11 00:00:00,0,0,3
2020-02-12 00:00:00,0,0,3
2020-02-13 00:00:00,0,0,3
2020-02-14 00:00:00,0,0,3
2020-02-15 00:00:00,0,0,3
2020-02-16 00:00:00,0,0,3
2020-02-17 00:00:00,0,0,3
2020-02-18 00:00:00,0,0,3
2020-02-19 00:00:00,0,0,3
2020-02-20 00:00:00,0,0,3
2020-02-21 00:00:00,0,0,3
2020-02-22 00:00:00,0,0,3
2020-02-23 00:00:00,0,0,3
2020-02-24 00:00:00,0,0,3
2020-02-25 00:00:00,0,0,3
2020-02-26 00:00:00,0,0,3
2020-02-27 00:00:00,0,0,3
2020-02-28 00:00:00,0,0,3
2020-02-29 00:00:00,0,0,3
2020-03-01 00:00:00,0,0,3
2020-03-02 00:00:00,0,0,3
2020-03-03 00:00:00,3,0,3
2020-03-04 00:00:00,3,0,3
2020-03-05 00:00:00,3,0,3
2020-03-06 00:00:00,3,0,3
2020-03-07 00:00:00,3,0,3
2020-03-08 00:00:00,3,0,8
2020-03-09 00:00:00,3,0,9
2020-03-10 00:00:00,3,0,15
2020-03-11 00:00:00,3,0,17
2020-03-12 00:00:00,3,0,17
2020-03-13 00:00:00,3,0,19
2020-03-14 00:00:00,3,0,19
2020-03-15 00:00:00,3,0,22
2020-03-16 00:00:00,3,0,23
2020-03-17 00:00:00,3,0,26
2020-03-18 00:00:00,3,0,27
2020-03-19 00:00:00,3,0,27
2020-03-20 00:00:00,3,0,28
2020-03-21 00:00:00,3,0,40
2020-03-22 00:00:00,3,0,52
2020-03-23 00:00:00,3,0,67
2020-03-24 00:00:00,4,0,95
2020-03-25 00:00:00,4,0,109
2020-03-26 00:00:00,6,0,118
2020-03-27 00:00:00,11,0,137
2020-03-28 00:00:00,11,0,176
2020-03-29 00:00:00,15,1,182
2020-03-30 00:00:00,19,1,202
2020-03-31 00:00:00,19,1,234
2020-04-01 00:00:00,23,2,241
2020-04-02 00:00:00,25,2,265
2020-04-03 00:00:00,27,2,286
2020-04-04 00:00:00,41,2,295
2020-04-05 00:00:00,49,2,306
2020-04-06 00:00:00,55,2,314
2020-04-07 00:00:00,58,2,327
2020-04-08 00:00:00,70,2,336
2020-04-09 00:00:00,83,2,345
2020-04-10 00:00:00,96,2,357
2020-04-11 00:00:00,123,2,364
2020-04-12 00:00:00,142,2,374
2020-04-13 00:00:00,179,3,376
2020-04-14 00:00:00,198,3,379
