Date,Cured,Deaths,Confirmed
2020-03-21 00:00:00,0,0,4
2020-03-22 00:00:00,0,0,4
2020-03-23 00:00:00,0,0,6
2020-03-24 00:00:00,0,0,7
2020-03-25 00:00:00,0,0,14
2020-03-26 00:00:00,0,1,19
2020-03-27 00:00:00,0,1,19
2020-03-28 00:00:00,0,2,28
2020-03-29 00:00:00,0,2,28
2020-03-30 00:00:00,0,3,44
2020-03-31 00:00:00,0,3,44
2020-04-01 00:00:00,0,3,63
2020-04-02 00:00:00,0,6,93
2020-04-03 00:00:00,0,6,98
2020-04-04 00:00:00,0,6,98
2020-04-05 00:00:00,0,9,156
2020-04-06 00:00:00,0,9,156
2020-04-07 00:00:00,0,13,216
2020-04-08 00:00:00,0,13,216
2020-04-09 00:00:00,0,16,243
2020-04-10 00:00:00,0,16,243
2020-04-11 00:00:00,0,33,410
2020-04-12 00:00:00,0,36,528
2020-04-13 00:00:00,44,43,517
2020-04-14 00:00:00,51,50,629
2020-04-15 00:00:00,64,53,870
2020-04-16 00:00:00,64,53,1003
2020-04-17 00:00:00,65,57,1186
2020-04-18 00:00:00,69,69,1217
2020-04-19 00:00:00,127,70,1210
