Date,Cured,Deaths,Confirmed
2020-03-09 00:00:00,0,0,2
2020-03-10 00:00:00,0,0,5
2020-03-11 00:00:00,0,0,2
2020-03-12 00:00:00,0,0,11
2020-03-13 00:00:00,0,0,14
2020-03-14 00:00:00,0,0,14
2020-03-15 00:00:00,0,0,32
2020-03-16 00:00:00,0,0,32
2020-03-17 00:00:00,0,1,38
2020-03-18 00:00:00,0,1,41
2020-03-19 00:00:00,0,1,46
2020-03-20 00:00:00,0,1,51
2020-03-21 00:00:00,0,1,62
2020-03-22 00:00:00,0,2,65
2020-03-23 00:00:00,0,2,72
2020-03-24 00:00:00,0,2,87
2020-03-25 00:00:00,1,3,124
2020-03-26 00:00:00,1,3,120
2020-03-27 00:00:00,15,4,111
2020-03-28 00:00:00,25,5,150
2020-03-29 00:00:00,25,6,155
2020-03-30 00:00:00,25,8,165
2020-03-31 00:00:00,39,9,168
2020-04-01 00:00:00,39,9,254
2020-04-02 00:00:00,42,13,280
2020-04-03 00:00:00,42,16,277
2020-04-04 00:00:00,42,24,424
2020-04-05 00:00:00,42,24,424
2020-04-06 00:00:00,56,45,647
2020-04-07 00:00:00,56,48,764
2020-04-08 00:00:00,79,64,875
2020-04-09 00:00:00,117,72,946
2020-04-10 00:00:00,125,97,1142
2020-04-11 00:00:00,188,110,1276
2020-04-12 00:00:00,208,127,1426
2020-04-13 00:00:00,217,149,1619
2020-04-14 00:00:00,229,160,1948
2020-04-15 00:00:00,259,178,2250
2020-04-16 00:00:00,295,187,2437
2020-04-17 00:00:00,300,194,2711
2020-04-18 00:00:00,331,201,2791
2020-04-19 00:00:00,365,211,3075
