Date,Cured,Deaths,Confirmed
2020-03-09 00:00:00,0,0,1
2020-03-10 00:00:00,0,0,1
2020-03-11 00:00:00,0,0,1
2020-03-12 00:00:00,0,0,1
2020-03-13 00:00:00,0,0,1
2020-03-14 00:00:00,0,0,1
2020-03-15 00:00:00,0,0,1
2020-03-16 00:00:00,0,0,1
2020-03-17 00:00:00,0,0,1
2020-03-18 00:00:00,0,0,1
2020-03-19 00:00:00,0,1,1
2020-03-20 00:00:00,0,1,1
2020-03-21 00:00:00,0,1,12
2020-03-22 00:00:00,0,1,20
2020-03-23 00:00:00,0,1,20
2020-03-24 00:00:00,0,1,28
2020-03-25 00:00:00,0,1,28
2020-03-26 00:00:00,0,1,32
2020-03-27 00:00:00,0,1,32
2020-03-28 00:00:00,1,1,36
2020-03-29 00:00:00,1,1,36
2020-03-30 00:00:00,1,1,36
2020-03-31 00:00:00,1,3,37
2020-04-01 00:00:00,1,3,38
2020-04-02 00:00:00,1,4,41
2020-04-03 00:00:00,1,5,42
2020-04-04 00:00:00,1,5,51
2020-04-05 00:00:00,1,5,51
2020-04-06 00:00:00,4,6,66
2020-04-07 00:00:00,4,7,80
2020-04-08 00:00:00,4,7,80
2020-04-09 00:00:00,4,8,89
2020-04-10 00:00:00,5,11,116
2020-04-11 00:00:00,5,11,116
2020-04-12 00:00:00,5,11,135
2020-04-13 00:00:00,14,11,142
2020-04-14 00:00:00,14,12,150
2020-04-15 00:00:00,14,13,159
2020-04-16 00:00:00,27,13,146
2020-04-17 00:00:00,27,13,146
2020-04-18 00:00:00,27,13,162
2020-04-19 00:00:00,31,16,172
