Date,Cured,Deaths,Confirmed
2020-03-03 00:00:00,0,0,1
2020-03-04 00:00:00,0,0,15
2020-03-05 00:00:00,0,0,15
2020-03-06 00:00:00,0,0,15
2020-03-07 00:00:00,0,0,15
2020-03-08 00:00:00,0,0,15
2020-03-09 00:00:00,0,0,15
2020-03-10 00:00:00,0,0,15
2020-03-11 00:00:00,0,0,3
2020-03-12 00:00:00,0,0,3
2020-03-13 00:00:00,0,0,3
2020-03-14 00:00:00,1,0,2
2020-03-15 00:00:00,3,0,1
2020-03-16 00:00:00,3,0,1
2020-03-17 00:00:00,3,0,1
2020-03-18 00:00:00,3,0,1
2020-03-19 00:00:00,3,0,4
2020-03-20 00:00:00,3,0,14
2020-03-21 00:00:00,3,0,14
2020-03-22 00:00:00,3,0,21
2020-03-23 00:00:00,3,0,25
2020-03-24 00:00:00,3,0,29
2020-03-25 00:00:00,3,0,33
2020-03-26 00:00:00,3,0,38
2020-03-27 00:00:00,3,0,38
2020-03-28 00:00:00,3,0,51
2020-03-29 00:00:00,3,0,52
2020-03-30 00:00:00,3,0,56
2020-03-31 00:00:00,3,0,71
2020-04-01 00:00:00,3,0,90
2020-04-02 00:00:00,3,0,105
2020-04-03 00:00:00,3,0,164
2020-04-04 00:00:00,21,0,179
2020-04-05 00:00:00,21,0,179
2020-04-06 00:00:00,21,0,253
2020-04-07 00:00:00,21,3,267
2020-04-08 00:00:00,21,3,307
2020-04-09 00:00:00,21,3,362
2020-04-10 00:00:00,21,3,442
2020-04-11 00:00:00,21,3,532
2020-04-12 00:00:00,21,3,679
2020-04-13 00:00:00,21,3,791
2020-04-14 00:00:00,133,3,746
