Date,Cured,Deaths,Confirmed
2020-03-02 00:00:00,0,0,1
2020-03-03 00:00:00,0,0,1
2020-03-04 00:00:00,0,0,1
2020-03-05 00:00:00,0,0,1
2020-03-06 00:00:00,0,0,1
2020-03-07 00:00:00,0,0,1
2020-03-08 00:00:00,0,0,1
2020-03-09 00:00:00,0,0,1
2020-03-10 00:00:00,0,0,1
2020-03-11 00:00:00,0,0,1
2020-03-12 00:00:00,0,0,1
2020-03-13 00:00:00,0,0,1
2020-03-14 00:00:00,0,0,1
2020-03-15 00:00:00,1,0,3
2020-03-16 00:00:00,1,0,3
2020-03-17 00:00:00,1,0,5
2020-03-18 00:00:00,1,0,6
2020-03-19 00:00:00,1,0,6
2020-03-20 00:00:00,1,0,17
2020-03-21 00:00:00,1,0,21
2020-03-22 00:00:00,1,0,22
2020-03-23 00:00:00,1,0,32
2020-03-24 00:00:00,1,0,35
2020-03-25 00:00:00,1,0,35
2020-03-26 00:00:00,1,0,44
2020-03-27 00:00:00,1,0,45
2020-03-28 00:00:00,1,0,56
2020-03-29 00:00:00,1,1,66
2020-03-30 00:00:00,1,1,71
2020-03-31 00:00:00,1,1,79
2020-04-01 00:00:00,1,3,96
2020-04-02 00:00:00,1,3,107
2020-04-03 00:00:00,1,7,158
2020-04-04 00:00:00,1,7,159
2020-04-05 00:00:00,32,7,269
2020-04-06 00:00:00,34,7,321
2020-04-07 00:00:00,35,7,364
2020-04-08 00:00:00,35,7,427
2020-04-09 00:00:00,35,7,442
2020-04-10 00:00:00,35,7,473
2020-04-11 00:00:00,43,9,504
2020-04-12 00:00:00,43,9,504
2020-04-13 00:00:00,100,16,562
2020-04-14 00:00:00,100,17,624
