Date,Cured,Deaths,Confirmed
2020-03-04 00:00:00,0,0,6
2020-03-05 00:00:00,0,0,7
2020-03-06 00:00:00,0,0,7
2020-03-07 00:00:00,0,0,7
2020-03-08 00:00:00,0,0,7
2020-03-09 00:00:00,0,0,7
2020-03-10 00:00:00,0,0,7
2020-03-11 00:00:00,0,0,9
2020-03-12 00:00:00,0,0,11
2020-03-13 00:00:00,0,0,11
2020-03-14 00:00:00,5,0,12
2020-03-15 00:00:00,4,0,13
2020-03-16 00:00:00,4,0,13
2020-03-17 00:00:00,5,0,15
2020-03-18 00:00:00,5,0,16
2020-03-19 00:00:00,9,0,19
2020-03-20 00:00:00,9,0,23
2020-03-21 00:00:00,9,0,24
2020-03-22 00:00:00,9,0,27
2020-03-23 00:00:00,9,0,31
2020-03-24 00:00:00,11,0,33
2020-03-25 00:00:00,11,0,37
2020-03-26 00:00:00,11,0,41
2020-03-27 00:00:00,11,0,41
2020-03-28 00:00:00,11,0,55
2020-03-29 00:00:00,11,0,65
2020-03-30 00:00:00,11,0,82
2020-03-31 00:00:00,14,0,101
2020-04-01 00:00:00,14,2,103
2020-04-02 00:00:00,14,2,113
2020-04-03 00:00:00,14,2,172
2020-04-04 00:00:00,19,2,174
2020-04-05 00:00:00,19,2,227
2020-04-06 00:00:00,21,3,305
2020-04-07 00:00:00,21,3,305
2020-04-08 00:00:00,26,3,343
2020-04-09 00:00:00,31,4,410
2020-04-10 00:00:00,32,4,431
2020-04-11 00:00:00,32,4,433
2020-04-12 00:00:00,45,5,452
2020-04-13 00:00:00,47,5,483
2020-04-14 00:00:00,49,5,657
