Date,Confirmed
2020-01-30,1
2020-01-31,1
2020-02-01,2
2020-02-02,3
2020-02-03,3
2020-02-04,3
2020-02-05,3
2020-02-06,3
2020-02-07,3
2020-02-08,3
2020-02-09,3
2020-02-10,3
2020-02-11,3
2020-02-12,3
2020-02-13,3
2020-02-14,3
2020-02-15,3
2020-02-16,3
2020-02-17,3
2020-02-18,3
2020-02-19,3
2020-02-20,3
2020-02-21,3
2020-02-22,3
2020-02-23,3
2020-02-24,3
2020-02-25,3
2020-02-26,3
2020-02-27,3
2020-02-28,3
2020-02-29,3
2020-03-01,3
2020-03-02,5
2020-03-03,6
2020-03-04,28
2020-03-05,30
2020-03-06,31
2020-03-07,34
2020-03-08,39
2020-03-09,46
2020-03-10,58
2020-03-11,60
2020-03-12,74
2020-03-13,81
2020-03-14,84
2020-03-15,110
2020-03-16,114
2020-03-17,137
2020-03-18,151
2020-03-19,173
2020-03-20,223
2020-03-21,283
2020-03-22,360
2020-03-23,433
2020-03-24,519
2020-03-25,606
2020-03-26,694
2020-03-27,724
2020-03-28,909
2020-03-29,1024
2020-03-30,1251
2020-03-31,1397
2020-04-01,1834
2020-04-02,2069
2020-04-03,2547
2020-04-04,3072
2020-04-05,3577
2020-04-06,4281
2020-04-07,4789
2020-04-08,5274
2020-04-09,5865
2020-04-10,6761
2020-04-11,7529
2020-04-12,8447
2020-04-13,9352
2020-04-14,10815
2020-04-15,11933
2020-04-16,12759
2020-04-17,13835
2020-04-18,14792
2020-04-19,16116
